short_code,name,short_description,long_description,baseline_group,created_by,updated_by,created_at,updated_at
s0029,Functional environmental flows (v1),Functional flows scenario - requirements on tribs and Delta; with 2020 land use,This scenario sets new minimum flow requirements on tributaries to the Sacramento and San Joaquin rivers as well as the mainstem of those rivers plus Delta outflow. This scenario (s0029) is the same as s0018 except that the land use inputs are updated to reflect the 2020 LandIQ dataset in this study.,s0020,2,2,2026-03-24 22:39:28.079228+00:00,2026-03-24 22:39:28.079228+00:00
s0030,No flow requirements,Current operations without minimum flow requirements on Central Valley rivers.,"This scenario removes minimum flow requirements on rivers and streams throughout the Central Valley and in rim watersheds where they are defined in CalSim3. Delta outflow requirements remain in place according to the stipulations of D1641 and Biological Opinions as set in the reference scenario s0020. This scenario (s0030) was created by copying the eflows/functional flows scenario s0029 and turning flow requirement switches (where they're defined) to 0 and manually setting flow requirements to 0 elsewhere. We could not find a complete listing of the minimum flow variables and locations in Calsim3 prior to setting up this run, so there is a chance some may have been missed, although the efforts to search through the WRESL code were fairly exhaustive.
This scenario was envisioned as an exploratory one meant to provide a reference point against which the functional flows/eflows (a high flow requirement scenario) and standard flow requirement scenarios could be compared.",s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0031,Salmon-friendly flows,Sacramento River flow requirements and Shasta cold-water storage protection to support Sacramento River winter run Chinook salmon life cycle needs.,,s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0032,Functional environmental flows with groundwater regulations,"Functional flow requirements implemented on tributaries to the Sacramento and San Joaquin River, combined with groundwater pumping limits and reduced irrigated agricultural acreage, reflecting compliance with SGMA.",Combines the functional flow requirements of s0029 with the reduced irrigated acreage (for improved groundwater sustainability) of s0028. The intent was to offset the high water demands of eflows/functional flows with a lower demand to mitigate extreme reservoir drawdown.,s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0033,Salmon-friendly flows with groundwater regulations,"Sacramento River flow requirements and Shasta cold-water storage protection to support Sacramento River winter run Chinook salmon life cycle needs, combined with groundwater pumping limits and reduced irrigated agricultural acreage, reflecting compliance with SGMA.",Combines the salmon flow requirements of s0031 with the reduced irrigated acreage (for improved groundwater sustainability) of s0028. The intent was to offset the high water demands of salmon flows with a lower demand to mitigate extreme reservoir drawdown.,s0031,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0035,Prioritizing human health delivery levels to community water systems,Water deliveries to satisfy human health and safety needs of community water systems are prioritized.,"This scenario prioritizes the allocation of surface supplies in the CVP and SWP systems to municipal and industrial (M&I) contractors sufficient to meet the health and human safety levels as defined by the Drinking Water/Community Water Systems group. CVP ag contracts (including Settlement and Exchange) are assigned a lower priority relative to standard allocation procedures to accommodate the prioritization of M&I deliveries. SWP contracts are split into ag and M&I and a higher priority allocation made to a portion of the M&I demand. All ""demands"" considered in allocations are set by maximum contract entitlements on an annual basis. Minimum deliveries for monthly time steps are set according to the HHS levels.",s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0036,Prioritizing functional delivery levels to community water systems,Water deliveries to satisfy functional needs of community water systems are prioritized.,"This scenario prioritizes the allocation of surface supplies in the CVP and SWP systems to municipal and industrial (M&I) contractors sufficient to meet a ""functional"" level of use as defined by the Drinking Water/Community Water Systems group. This functional level is set as 70% of the maximum contract entitlement. CVP ag contracts (including Settlement and Exchange) are assigned a lower priority relative to standard allocation procedures to accommodate the prioritization of these M&I deliveries. SWP contracts are split into ag and M&I and a higher priority allocation made to the first 70% of M&I contract amounts. Remaining available supply is allocated to agricultural contracts before M&I allocations are increased above the 70% level. All ""demands"" considered in allocations are set by maximum contract entitlements on an annual basis.",s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0037,Prioritizing full demands of community water systems,Water deliveries to satisfy full contract or demand levels of community water systems are prioritized.,"This scenario prioritizes the allocation of surface supplies in the CVP and SWP systems to municipal and industrial (M&I) contractors sufficient to meet as much of the full contract entitlements as possible. CVP ag contracts (including Settlement and Exchange) are assigned a lower priority relative to standard allocation procedures to accommodate the prioritization of these M&I deliveries. SWP contracts are split into ag and M&I and a higher priority allocation made to the first 70% of M&I contract amounts. Remaining available supply is allocated to agricultural contracts before M&I allocations are increased above the 70% level. All ""demands"" considered in allocations are set by maximum contract entitlements on an annual basis. Deliveries to other non-project M&I users are prioritized through higher weights (or penalties for shortages).",s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0038,USBR 2021 LTO Alt3,USBR Alt3 run with DWR adjusted historical hydrology and 2004-2013 land use,,,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 20:27:53.041383+00:00
s0039,Increase Delta outflows (65% of unimpaired flow),USBR Alternative 3 for the Long-Term Operation (LTO) of the Central Valley Project. Strategy increases Delta outflow requirements (from approximately 45% to 65% of unimpaired volume).,"USBR undertook an exploratory modeling exercise in the process of developing the scenarios for what would become the 2024 LTO consultation. One set of scenarios was informed by discussions with environmental and NGO groups and included increased Delta outflows and upstream actions to conserve water for environmental and ecological purposes. These actions were formalized into what USBR labeled the ""Alt3"" scenario. We adapted that scenario (made available after the conclusion of the LTO consultation in December 2024) for consistency with other COEQWAL modeling configurations. This included replacing the hydrology with DWR's historical adjusted hydrology and updating agricultural demands to follow the 2020 LandIQ land use dataset.
This scenario (s0039) uses the 65% unimpaired flow requirement for the Delta as was done in the original USBR studies. Note that this requirement applies only for December - May and comes with numerous overriding and off-ramping contingencies — that is, one should not expect to see a Delta outflow result that strictly matches a 65% of unimpaired flow condition in the results.",s0038,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0040,Reduce delta outflows (35% unimpaired flow),USBR Alternative 3 for the Long-Term Operation (LTO) of the Central Valley Project. Strategy reduces Delta outflow requirements (from approximately 45% to 35% of unimpaired volume).,"USBR undertook an exploratory modeling exercise in the process of developing the scenarios for what would become the 2024 LTO consultation. One set of scenarios was informed by discussions with environmental and NGO groups and included increased Delta outflows and upstream actions to conserve water for environmental and ecological purposes. These actions were formalized into what USBR labeled the ""Alt3"" scenario. We adapted that scenario (made available after the conclusion of the LTO consultation in December 2024) for consistency with other COEQWAL modeling configurations. This included replacing the hydrology with DWR's historical adjusted hydrology and updating agricultural demands to follow the 2020 LandIQ land use dataset.
This scenario (s0040) reduces the 65% unimpaired flow requirement for the Delta (as was done in the original USBR studies and s0039) down to 35%. Note that this requirement applies only for December - May and comes with numerous overriding and off-ramping contingencies — that is, one should not expect to see a Delta outflow result that strictly matches a 35% of unimpaired flow condition in the results. In particular, where unregulated flows are available (from runoff on the valley floor during storms, for example) one would expect Delta outflows to exceed the 35% of unimpaired flow level.",s0038,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0041,Maintain Delta outflows (45% of unimpaired flows),USBR Alternative 3 for the Long-Term Operation (LTO) of the Central Valley Project. Strategy maintains Delta outflow requirements near current volumes.,"USBR undertook an exploratory modeling exercise in the process of developing the scenarios for what would become the 2024 LTO consultation. One set of scenarios was informed by discussions with environmental and NGO groups and included increased Delta outflows and upstream actions to conserve water for environmental and ecological purposes. These actions were formalized into what USBR labeled the ""Alt3"" scenario. We adapted that scenario (made available after the conclusion of the LTO consultation in December 2024) for consistency with other COEQWAL modeling configurations. This included replacing the hydrology with DWR's historical adjusted hydrology and updating agricultural demands to follow the 2020 LandIQ land use dataset.
This scenario (s0041) reduces the 65% unimpaired flow requirement for the Delta (as was done in the original USBR studies and s0039) down to 45%. Note that this requirement applies only for December - May and comes with numerous overriding and off-ramping contingencies — that is, one should not expect to see a Delta outflow result that strictly matches a 45% of unimpaired flow condition in the results. In particular, where unregulated flows are available (from runoff on the valley floor during storms, for example) one would expect Delta outflows to exceed the 45% of unimpaired flow level.",s0038,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0042,Increase Delta outflows (55% of unimpaired flows),USBR Alternative 3 for the Long-Term Operation (LTO) of the Central Valley Project. Strategy increases Delta outflow requirements (from approximately 45% to 55% of unimpaired volume).,"USBR undertook an exploratory modeling exercise in the process of developing the scenarios for what would become the 2024 LTO consultation. One set of scenarios was informed by discussions with environmental and NGO groups and included increased Delta outflows and upstream actions to conserve water for environmental and ecological purposes. These actions were formalized into what USBR labeled the ""Alt3"" scenario. We adapted that scenario (made available after the conclusion of the LTO consultation in December 2024) for consistency with other COEQWAL modeling configurations. This included replacing the hydrology with DWR's historical adjusted hydrology and updating agricultural demands to follow the 2020 LandIQ land use dataset.
This scenario (s0042) reduces the 65% unimpaired flow requirement for the Delta (as was done in the original USBR studies and s0039) down to 55%. Note that this requirement applies only for December - May and comes with numerous overriding and off-ramping contingencies — that is, one should not expect to see a Delta outflow result that strictly matches a 55% of unimpaired flow condition in the results. In particular, where unregulated flows are available (from runoff on the valley floor during storms, for example) one would expect Delta outflows to exceed the 55% of unimpaired flow level.",s0038,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0044,Increase Shasta carry-over storage,Increases the year-to-year storage carry-over target by 20%.,"CVP allocations are reduced in the spring to increase target carryover storage in Shasta reservoir by 20% relative to the baseline (s0020). Because of uncertainty in water supply when allocations are set in CalSim3 (i.e. CalSim does not ""know"" how much water there will be), the carryover condition is not guaranteed to be met. However, Shasta reservoir storage should be increased in many years. The modified allocations, Shasta storage, and deliveries may affect hydrology and reservoir conditions in other parts of the system not targeted by actions in this scenario. This is a consequence of the interconnections in the Central Valley water management and hydrologic system as reflected in a complex but incomplete model. Scenario was developed by adapting USBR's Alt3 allocation logic to the base s0020 scenario.",s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0045,Relax Delta salinity standards,"Removes the fall (X2) salinity standard in the Delta, based on current USBR operations.","In recent years, many parties have called for the removal or loosening of requirements for certain X2 conditions to be met in August-October (""fall X2"") as originally set by the 2008-2009 biological opinions, arguing that the actions have not had the intended benefit for Delta ecology/fish. Furthermore, the most recent revised USBR proposed operation (updating the version released December 2024) removes this fall X2 requirement. This scenario implements a version of this action - removing the requirement for X2 conditions to be met in late summer and fall. Other Delta flow and salinity requirements are still in place and may control regardless of whether the fall X2 requirement is in effect.",s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0046,Functional environmental flows,Current operations with functional flow requirements implemented on tributaries to the Sacramento and San Joaquin River.,"Same as s0029 (functional flows scenario) except that the downstream Sacramento and San Joaquin River flow requirements are not activated, nor is a Delta outflow functional flow requirement. Existing Delta outflow requirements (i.e. from D1641 and other salinity-driven flows) are still in place.",s0020,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
s0065,Delta Conveyance Project,"DWR's 2025 Delta Conveyance Project scenario, with current land use.","Used DWR's 2025 climate adaptation scenario CCA6 (available under ""Downloads"" here https://cap-recon.azurewebsites.net/) as the base for this scenario. The sea level rise, land use, and hydrology were adapted to be comparable to the s0020 conditions used in other COEQWAL scenarios (historical adjusted hydro, no SLR, 2020 LandIQ land use). This scenario does include Voluntary Agreement (or ""Healthy Rivers and Landscapes"", HRL) actions, which previous DCP scenarios did not. These actions include additional flows and some rice acreage fallowing in the Sacramento Valley.",,2,2,2026-03-24 20:27:53.041383+00:00,2026-03-24 21:21:32.970400+00:00
