id,scenario_id,short_code,is_active,name,subtitle,short_title,simple_description,description,narrative,baseline_scenario_id,source_scenario_id,slr_id,hydroclimate_id,scenario_author_id,scenario_version_id,created_by,updated_by
11,s0030,s0030_DCRadjHist_2020LU_NoFlowReqt,1,Existing flow requirements on Central Valley tributaries removed. Delta outflow requirements maintained. 2020 LandIQ land use.,,No Flow Requirements,Remove minimum flow requirements in Central Valley,Removes minimum flow requirements on rivers and streams throughout the Central Valley and rim watersheds. Delta outflow requirements remain per D1641 and Biological Opinions. Created as an exploratory reference point against which functional flows and standard scenarios can be compared. Derived from s0029 by setting flow requirement switches to 0.,,2,8,1,2,3,1,2,
12,s0031,s0031_DCRadjHist_2020LU_salmonflows,1,Salmon-friendly flow requirements and Shasta storage protection. 2020 LandIQ land use.,,Salmon Flows,Salmon-friendly flows and Shasta storage protection,"Modified functional flow requirements adjusted for Winter-run Chinook salmon survival on the Sacramento River, combined with Shasta cold water pool protection. Derived from s0029.",,2,8,1,2,3,1,2,
13,s0032,s0032_DCRadjHist_CVgwLU_eflows,1,Functional flow requirements at 17 locations combined with Central Valley groundwater pumping limits. 2020 LandIQ land use.,,Functional Flows + CV GW,Functional flows with reduced CV-wide ag acreage,Combines functional flow requirements of s0029 with reduced irrigated acreage of s0028. Intended to offset high water demands of functional flows with lower demand to mitigate extreme reservoir drawdown.,,2,8,1,2,3,1,2,
14,s0033,s0033_DCRadjHist_CVgwLU_salmonflows,1,Salmon-friendly flow requirements combined with Central Valley groundwater pumping limits. 2020 LandIQ land use.,,Salmon Flows + CV GW,Salmon-friendly flows with reduced CV-wide ag acreage,Combines salmon-friendly flow requirements of s0031 with reduced irrigated acreage of s0028. Intended to offset high water demands of salmon flows with lower demand to mitigate extreme reservoir drawdown.,,2,8,1,2,3,1,2,
15,s0039,s0039_USBRAlt3_2020LU_DeltaOut65,1,"USBR Alternative 3 with allocation reductions and 65% unimpaired Delta outflow. Modified BiOps, limits on exports.",,Alt3 65% Unimpaired,USBR alt3 - allocation reductions and 65% unimpaired Delta outflow,Adapted from USBR's Alt3 exploratory scenario (2024 LTO). Replaces USBR hydrology with DWR historically adjusted hydrology; updates to 2020 LandIQ land use. Applies 65% unimpaired flow requirement for the Delta (December–May). CVP Settlement allocations may be reduced to 0%.,,2,,1,2,3,1,2,
16,s0040,s0040_USBRAlt3_2020LU_DeltaOut35,1,"USBR Alternative 3 with allocation reductions and 35% unimpaired Delta outflow. Modified BiOps, limits on exports.",,Alt3 35% Unimpaired,USBR alt3 - allocation reductions and 35% unimpaired Delta outflow,Adapted from USBR's Alt3 exploratory scenario (2024 LTO). Same as s0039 but with Delta outflow requirement reduced from 65% to 35% unimpaired flow (December–May).,,2,,1,2,3,1,2,
17,s0041,s0041_USBRAlt3_2020LU_DeltaOut45,1,"USBR Alternative 3 with allocation reductions and 45% unimpaired Delta outflow. Modified BiOps, limits on exports.",,Alt3 45% Unimpaired,USBR alt3 - allocation reductions and 45% unimpaired Delta outflow,Adapted from USBR's Alt3 and s0039. Same configuration with Delta outflow requirement reduced to 45% unimpaired flow (December–May).,,2,15,1,2,3,1,2,
18,s0042,s0042_USBRAlt3_2020LU_DeltaOut55,1,"USBR Alternative 3 with allocation reductions and 55% unimpaired Delta outflow. Modified BiOps, limits on exports.",,Alt3 55% Unimpaired,USBR alt3 - allocation reductions and 55% unimpaired Delta outflow,Adapted from USBR's Alt3 and s0039. Same configuration with Delta outflow requirement at 55% unimpaired flow (December–May).,,2,15,1,2,3,1,2,
19,s0044,s0044_DCRadjHist_2020LU_ShastaCarryOver20,1,Increase Shasta Reservoir carryover storage target by 20%. CVP Settlement Contractor allocations reduced as needed. Modified BiOps.,,Shasta Carryover +20%,Increase Shasta carryover target by 20% compared to s0020,"CVP Settlement Contractor allocations reduced in spring to increase Shasta carryover storage target by 20% relative to s0020 baseline. Because CalSim sets allocations under uncertainty, the carryover condition is not guaranteed but should increase Shasta storage in many years.",,2,,1,2,3,1,2,
20,s0045,s0045_DCRadjBL_2020LU_RelaxFallX2,1,Remove fall X2 salinity standard in the Delta. Modified BiOps. 2020 LandIQ land use.,,No Fall X2,Remove fall X2 salinity requirement in the Delta,Removes the requirement for X2 conditions to be met in August–October ('fall X2') as originally set by 2008-2009 biological opinions. Other Delta flow and salinity requirements remain in place. Derived from s0020.,,2,2,1,2,3,1,2,
21,s0046,s0046_DCRadjHist_2020LU_noDeltaSacSJRflows,1,Remove Delta and lower Sacramento/San Joaquin River flow requirements. 2020 LandIQ land use.,,No Delta/Sac-SJR Flows,Remove Delta and lower Sac/SJR flow requirements,Removes Delta outflow and lower Sacramento/San Joaquin River flow requirements. Derived from s0020 with 2020 LandIQ land use.,,2,2,1,2,3,1,2,
22,s0065,s0065_DWRadapt25_2020LU_DCP,1,"DWR 2025 climate adaptation Delta Conveyance Project scenario. 2020 LandIQ land use, voluntary agreements.",,DWR 2025 DCP,DWR 2025 DCP scenario with 2020 land use and voluntary agreements,DWR 2025 climate adaptation scenario including the Delta Conveyance Project with 2020 LandIQ land use and voluntary water agreements.,,2,,1,2,3,1,2,
23,s0035,s0035_tbd,0,Coming soon,,Coming soon,Coming soon — 2020 LandIQ land use scenario,Placeholder scenario. This scenario uses 2020 LandIQ land use. Full metadata coming soon.,,,,1,2,3,1,2,
24,s0036,s0036_tbd,0,Coming soon,,Coming soon,Coming soon — 2020 LandIQ land use scenario,Placeholder scenario. This scenario uses 2020 LandIQ land use. Full metadata coming soon.,,,,1,2,3,1,2,
25,s0037,s0037_tbd,0,Coming soon,,Coming soon,Coming soon — 2020 LandIQ land use scenario,Placeholder scenario. This scenario uses 2020 LandIQ land use. Full metadata coming soon.,,,,1,2,3,1,2,
